start_age,end_age,mid_point,rel_ice_volume,d18O,d18O_mgca,age,running_mean_2,diff_ice_mgca
1,0,0.5,High,0.45,0.25,0.50,0.45,0.20
2,1,1.5,High,0.45,0.04,1.00,0.45,0.41
3,2,2.5,Moderate,-0.48,-0.60,2.00,-0.01,0.12
4,3,3.5,Moderate,-0.48,-0.78,3.00,-0.48,0.30
5,4,4.5,Moderate,-0.48,-0.78,4.00,-0.48,0.30
6,5,5.5,Moderate,-0.48,-0.70,5.00,-0.48,0.22
7,6,6.5,Moderate,-0.48,-0.48,6.00,-0.48,0.00
8,7,7.5,Moderate,-0.48,-0.34,7.00,-0.48,0.15
9,8,8.5,Moderate,-0.48,-0.33,8.00,-0.48,0.15
10,9,9.5,Moderate,-0.48,-0.51,9.00,-0.48,0.03
11,10,10.5,Moderate,-0.48,-0.51,10.00,-0.48,0.03
12,11,11.5,Moderate,-0.48,-0.36,11.00,-0.48,0.12
13,12,12.5,Moderate,-0.48,-0.22,12.00,-0.48,0.27
14,13,13.5,Moderate,-0.48,-0.45,13.00,-0.48,0.03
15,14,14.5,Moderate,-0.48,-0.96,14.00,-0.48,0.48
16,15,15.5,Moderate,-0.48,-0.94,15.00,-0.48,0.46
17,16,16.5,Moderate,-0.48,-0.92,16.00,-0.48,0.44
18,17,17.5,Moderate,-0.48,-0.69,17.00,-0.48,0.21
19,18,18.5,Moderate,-0.48,-0.69,18.00,-0.48,0.21
20,19,19.5,Moderate,-0.48,-0.70,19.00,-0.48,0.22
21,20,20.5,Moderate,-0.48,-0.54,20.00,-0.48,0.06
22,21,21.5,Moderate,-0.48,-0.62,21.00,-0.48,0.14
23,22,22.5,Moderate,-0.48,-0.64,22.00,-0.48,0.16
24,23,23.5,Moderate,-0.48,-0.38,23.00,-0.48,0.10
25,24,24.5,Moderate,-0.48,-0.54,24.00,-0.48,0.06
26,25,25.5,Moderate,-0.48,-0.70,25.00,-0.48,0.22
27,26,26.5,Moderate,-0.48,-0.46,26.00,-0.48,0.02
28,27,27.5,Moderate,-0.48,-0.18,27.00,-0.48,0.30
29,28,28.5,Moderate,-0.48,-0.15,28.00,-0.48,0.34
30,29,29.5,Moderate,-0.48,-0.45,29.00,-0.48,0.03
31,30,30.5,Moderate,-0.48,-0.49,30.00,-0.48,0.01
32,31,31.5,Moderate,-0.48,-0.36,31.00,-0.48,0.13
33,32,32.5,Moderate,-0.48,-0.11,32.00,-0.48,0.37
34,33,33.5,Moderate,-0.48,-0.41,33.00,-0.48,0.08
35,34,34.5,Low,-0.83,-0.93,34.00,-0.66,0.10
36,35,35.5,Low,-0.83,-0.92,35.00,-0.83,0.08
37,36,36.5,Low,-0.83,-0.92,36.00,-0.83,0.08
38,37,37.5,Low,-0.83,-0.74,37.00,-0.83,0.09
39,38,38.5,Low,-0.83,-0.75,38.00,-0.83,0.08
40,39,39.5,Low,-0.83,-0.86,39.00,-0.83,0.02
41,40,40.5,Low,-0.83,-1.04,40.00,-0.83,0.21
42,41,41.5,Low,-0.83,-1.10,41.00,-0.83,0.27
43,42,42.5,Low,-0.83,-1.10,42.00,-0.83,0.27
44,43,43.5,Low,-0.83,-1.10,43.00,-0.83,0.27
45,44,44.5,Low,-0.83,-1.10,44.00,-0.83,0.27
46,45,45.5,Low,-0.83,-1.10,45.00,-0.83,0.27
47,46,46.5,Low,-0.83,-1.10,46.00,-0.83,0.27
48,47,47.5,Low,-0.83,-1.10,47.00,-0.83,0.27
49,48,48.5,Low,-0.83,-1.10,48.00,-0.83,0.27
50,49,49.5,Low,-0.83,-1.10,49.00,-0.83,0.27
51,50,50.5,Ice-free,-1.08,-1.10,50.00,-0.96,0.02
52,51,51.5,Ice-free,-1.08,-1.10,51.00,-1.08,0.02
53,52,52.5,Ice-free,-1.08,-1.10,52.00,-1.08,0.02
54,53,53.5,Ice-free,-1.08,-1.10,53.00,-1.08,0.02
55,54,54.5,Ice-free,-1.08,-1.10,54.00,-1.08,0.02
56,55,55.5,Ice-free,-1.08,-1.10,55.00,-1.08,0.02
57,56,56.5,Ice-free,-1.08,-1.10,56.00,-1.08,0.02
58,57,57.5,Ice-free,-1.08,,57.00,-1.08,
59,58,58.5,Ice-free,-1.08,,58.00,-1.08,
60,59,59.5,Ice-free,-1.08,,59.00,-1.08,
61,60,60.5,Ice-free,-1.08,,60.00,-1.08,
62,61,61.5,Ice-free,-1.08,,61.00,-1.08,
63,62,62.5,Ice-free,-1.08,,62.00,-1.08,
64,63,63.5,Ice-free,-1.08,,63.00,-1.08,
65,64,64.5,Ice-free,-1.08,,64.00,-1.08,
66,65,65.5,Ice-free,-1.08,,65.00,-1.08,
67,66,66.5,Ice-free,-1.08,,66.00,-1.08,
68,67,67.5,Ice-free,-1.08,,67.00,-1.08,
69,68,68.5,Ice-free,-1.08,,68.00,-1.08,
70,69,69.5,Ice-free,-1.08,,69.00,-1.08,
71,70,70.5,Ice-free,-1.08,,70.00,-1.08,
72,71,71.5,Ice-free,-1.08,,71.00,-1.08,
73,72,72.5,Ice-free,-1.08,,72.00,-1.08,
74,73,73.5,Ice-free,-1.08,,73.00,-1.08,
75,74,74.5,Ice-free,-1.08,,74.00,-1.08,
76,75,75.5,Ice-free,-1.08,,75.00,-1.08,
77,76,76.5,Ice-free,-1.08,,76.00,-1.08,
78,77,77.5,Ice-free,-1.08,,77.00,-1.08,
79,78,78.5,Ice-free,-1.08,,78.00,-1.08,
80,79,79.5,Ice-free,-1.08,,79.00,-1.08,
